"pitcher","pitcher_name","pitch_hand","n_pitches","team_id","ball_angle","relative_release_ball_x","release_ball_z","relative_shoulder_x","shoulder_z"
666745,"Brito, Jhony","R",617,135,"54.6",-0.9533989283894327,6.149448947,0.49769624195044143,4.102450325593624
679358,"Orze, Eric","R",42,121,"45.1",-1.2060293921227374,5.841666667,0.4137403085476614,4.214915996095406
687922,"Lucas, Easton","L",246,9999,"47.6",1.4741114512448739,5.955406504,-0.1256938535281075,4.203809367708649
668674,"Erceg, Lucas","R",947,9999,"42.6",-1.5977998342949928,6.013146779,0.11679148281372641,4.437115032366025
598286,"Ramirez, Nick","L",194,119,"29.2",2.3787122360663746,5.735051546,0.40492093922855,4.633594156697356
806185,"Birdsong, Hayden","R",1388,137,"41.5",-1.5906631766995063,6.343832853,0.17110463939702153,4.7872081318996
676254,"Walker, Ryan","R",1205,137,"17.1",-2.855415033059984,5.180605809,-0.5597335510832026,4.474050149924925
643361,"Herget, Kevin","R",151,158,"51.3",-0.9782878447666443,6.09192053,0.3860755462690794,4.3892889441749015
660813,"Graterol, Brusdar","R",101,119,"36.4",-2.32631745896568,6.219009901,-0.48019624168299174,4.8573172111328775
687014,"Avila, Nick","R",225,137,"53.7",-0.9375348394489632,6.119688889,0.47108667656961745,4.204498033670034
666720,"Rodríguez, Yerry","R",438,9999,"27.5",-2.219326506541374,5.67196347,-0.24379623552202107,4.642343981922368
682847,"Ortiz, Luis L.","R",2143,134,"21.8",-2.2083496106858274,4.964638357,-0.08611329200156712,4.116028723789177
656731,"Megill, Tylor","R",1365,121,"36.8",-2.0221629022367518,5.788322344,-0.1649961354331943,4.400101078202846
543518,"McGough, Scott","R",577,109,"46.8",-1.384153246769588,6.001611785,0.06623550681655996,4.457540992193311
686799,"Kochanowicz, Jack","R",859,108,"28.2",-2.4620711195576153,5.918498254,-0.2161551475516655,4.712818149134985
600986,"Vieira, Thyago","R",737,9999,"46.8",-1.549334394982199,6.055658073,0.05967917195742246,4.335625238779362
608379,"Wacha, Michael","R",2602,118,"51.5",-1.261187532471242,6.520857033,0.1639085179232759,4.727319871112442
656793,"Nelson, Nick","R",96,143,"48.1",-1.6054368656491553,5.637083333,-0.18790467635917998,4.057787401589423
594902,"Lively, Ben","R",2405,114,"37.7",-1.7416763682034166,5.224893971,-0.06751707309119079,3.930023924570395
672860,"Berroa, Prelander","R",348,145,"51.2",-1.36837383515658,5.853850575,0.051349062890568994,4.0874575370848465
453286,"Scherzer, Max","R",668,140,"29.2",-2.3396734038884515,5.529026946,-0.34505922019597157,4.411894843601568
682990,"Priester, Quinn","R",809,9999,"42.6",-1.6074308779713447,5.953881335,0.15186488303378437,4.337190590262397
670036,"Festa, Matt","R",385,9999,"27.6",-2.101311588642083,4.884883117,-0.265350834317198,3.9256328082968728
621112,"Blackburn, Paul","R",1212,9999,"49.6",-1.5023394397978658,6.042541254,0.00559970872087208,4.270532995946656
519293,"Smith, Will","L",673,118,"45.5",1.5246505961797414,6.481589896,-0.11733552706507432,4.812258293405166
669395,"Coleman, Dylan","R",16,117,"35.4",-1.6895486148743455,6.053125,0.21781526849376115,4.698127673796791
659275,"Lamet, Dinelson","R",74,119,"46.8",-1.5524615731958011,6.177837838,0.1413237329575565,4.374149291805172
598264,"Barnes, Matt","R",237,120,"44.4",-1.5672303104637497,6.472869198,0.18149882405589773,4.758917173221419
672552,"O'Loughlin, Jack","L",176,133,"34.0",2.033924170135891,5.888920455,0.014302857113919943,4.5256596200980415
621199,"Bowman, Matt","R",497,9999,"36.2",-1.65656000394433,5.732414487,-0.013867726322283072,4.526699937772802
679525,"Marsh, Alec","R",2160,118,"32.3",-2.26056208493779,5.658069444,-0.3067316554433225,4.421233538283161
642546,"Hernández, Jonathan","R",761,9999,"26.1",-2.2781077170510247,5.446596583,-0.18902899915909493,4.422395632798576
677976,"Dobnak, Randy","R",183,142,"19.6",-2.5468519237109994,5.444972678,-0.36511153336645147,4.668453100435407
677161,"Kelly, Zack","R",955,111,"35.9",-1.8671117874768628,5.419759162,-0.04101928642756481,4.094907204785772
693312,"Nicolas, Kyle","R",950,134,"44.4",-1.3795553719387816,6.094863158,0.27213686949995325,4.478433803358667
683568,"Iriarte, Jairo","R",137,145,"30.8",-1.9192493301443934,5.265474453,0.10757284892722847,4.055215741572011
664948,"Misiewicz, Anthony","L",30,147,"56.1",1.022044907435765,6.164666667,-0.2567951128936423,4.266360409982176
621399,"Feigl, Brady","L",44,134,"54.1",1.2097810071726673,6.443181818,-0.17315111003078912,4.529810417679469
681810,"Warren, Austin","R",173,137,"31.0",-2.266736210071516,5.175028902,-0.3466408586030314,4.017451057669519
663878,"Pearson, Nate","R",1058,9999,"40.3",-1.7340879779916951,5.493969754,0.0960307335840334,3.9414801558619676
641712,"Hudson, Dakota","R",1508,115,"35.8",-1.946196048960026,6.124781167,0.005813847359537007,4.713632903835518
666200,"Luzardo, Jesús","L",1083,146,"39.3",1.894745522013087,5.975401662,0.09039720539269183,4.49708095242798
605154,"Brebbia, John","R",994,9999,"40.7",-1.6253161384963761,5.874637827,0.05201702299357639,4.431563261386498
